file, sw2, lvc_size, base_size, enhance_size, enhancement_ratio,psnr_avg
SOCCER_LCEVC_AVC_SW2-6900_QP22_2025-06-28_14-35-56.lvc, 6900, 3695701,424992,3270709,88.5004%,9.06
SOCCER_LCEVC_AVC_SW2-7000_QP22_2025-06-28_14-36-04.lvc, 7000, 3863107,424992,3438115,88.9987%,8.89
SOCCER_LCEVC_AVC_SW2-7100_QP22_2025-06-28_14-36-12.lvc, 7100, 3859908,424992,3434916,88.9896%,8.88
SOCCER_LCEVC_AVC_SW2-7200_QP22_2025-06-28_14-36-20.lvc, 7200, 3979507,424992,3554515,89.3205%,9.10
SOCCER_LCEVC_AVC_SW2-7300_QP22_2025-06-28_14-36-28.lvc, 7300, 1236588,424992,811596,65.6319%,11.73
SOCCER_LCEVC_AVC_SW2-7400_QP22_2025-06-28_14-36-35.lvc, 7400, 1216555,424992,791563,65.0659%,11.68
SOCCER_LCEVC_AVC_SW2-7500_QP22_2025-06-28_14-36-42.lvc, 7500, 1163484,424992,738492,63.4725%,11.52
SOCCER_LCEVC_AVC_SW2-7600_QP22_2025-06-28_14-36-49.lvc, 7600, 1154619,424992,729627,63.1920%,11.31
SOCCER_LCEVC_AVC_SW2-7700_QP22_2025-06-28_14-36-57.lvc, 7700, 790306,424992,365314,46.2244%,8.23
SOCCER_LCEVC_AVC_SW2-7800_QP22_2025-06-28_14-37-04.lvc, 7800, 883272,424992,458280,51.8844%,8.63
SOCCER_LCEVC_AVC_SW2-7900_QP22_2025-06-28_14-37-11.lvc, 7900, 908714,424992,483722,53.2315%,8.65
SOCCER_LCEVC_AVC_SW2-8000_QP22_2025-06-28_14-37-18.lvc, 8000, 903472,424992,478480,52.9601%,8.65
SOCCER_LCEVC_AVC_SW2-8100_QP22_2025-06-28_14-37-25.lvc, 8100, 903684,424992,478692,52.9712%,8.65
SOCCER_LCEVC_AVC_SW2-8200_QP22_2025-06-28_14-37-32.lvc, 8200, 1006377,424992,581385,57.7701%,9.09
SOCCER_LCEVC_AVC_SW2-8300_QP22_2025-06-28_14-37-40.lvc, 8300, 931468,424992,506476,54.3740%,8.99
SOCCER_LCEVC_AVC_SW2-8400_QP22_2025-06-28_14-37-47.lvc, 8400, 905127,424992,480135,53.0461%,8.99
SOCCER_LCEVC_AVC_SW2-8500_QP22_2025-06-28_14-37-54.lvc, 8500, 920717,424992,495725,53.8412%,9.02
SOCCER_LCEVC_AVC_SW2-8600_QP22_2025-06-28_14-38-01.lvc, 8600, 908077,424992,483085,53.1987%,8.71
SOCCER_LCEVC_AVC_SW2-8700_QP22_2025-06-28_14-38-08.lvc, 8700, 907738,424992,482746,53.1812%,8.71
SOCCER_LCEVC_AVC_SW2-8800_QP22_2025-06-28_14-38-16.lvc, 8800, 3047951,424992,2622959,86.0565%,9.14
SOCCER_LCEVC_AVC_SW2-8900_QP22_2025-06-28_14-38-23.lvc, 8900, 558787,424992,133795,23.9438%,18.28
SOCCER_LCEVC_AVC_SW2-9000_QP22_2025-06-28_14-38-30.lvc, 9000, 440122,424992,15130,3.4377%,33.49
SOCCER_LCEVC_AVC_SW2-9100_QP22_2025-06-28_14-38-37.lvc, 9100, 451045,424992,26053,5.7761%,10.39
SOCCER_LCEVC_AVC_SW2-9200_QP22_2025-06-28_14-38-44.lvc, 9200, 802749,424992,377757,47.0579%,9.12
SOCCER_LCEVC_AVC_SW2-9300_QP22_2025-06-28_14-38-51.lvc, 9300, 451648,424992,26656,5.9019%,33.49
SOCCER_LCEVC_AVC_SW2-9400_QP22_2025-06-28_14-38-58.lvc, 9400, 451648,424992,26656,5.9019%,33.49
SOCCER_LCEVC_AVC_SW2-9500_QP22_2025-06-28_14-39-05.lvc, 9500, 463835,424992,38843,8.3743%,10.05
SOCCER_LCEVC_AVC_SW2-9600_QP22_2025-06-28_14-39-12.lvc, 9600, 463835,424992,38843,8.3743%,10.05
SOCCER_LCEVC_AVC_SW2-9700_QP22_2025-06-28_14-39-19.lvc, 9700, 807396,424992,382404,47.3626%,8.89
SOCCER_LCEVC_AVC_SW2-9800_QP22_2025-06-28_14-39-26.lvc, 9800, 804588,424992,379596,47.1789%,8.89
SOCCER_LCEVC_AVC_SW2-9900_QP22_2025-06-28_14-39-34.lvc, 9900, 1121346,424992,696354,62.0998%,11.55
